"用户ID","特征","清洁效率","耗材","对比","时间"
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:90分钟\n跑步:7km\n配速:5'40\n心率:140,瑜伽垫磨损:中度\n跑鞋寿命:剩余90km\n足弓支撑:良好,柔韧性优于90%女性,2025-03
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:100kg 3组\n卧推:70kg 3组\n硬拉:120kg,腰带扣:正常\n握力带:更换\n肌肉恢复:好,力量增长超出预期（睡眠改善）,2025-03
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:18km\n爬升:800m\n负重:8kg\n耗时:5h,登山杖:正常\n徒步鞋:需更换\n膝盖无不适,徒步速度优于80%同经验者,2025-03
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:40km\n均速:20km/h\n爬升:800m\n心率:160,刹车片:剩余10%\n车灯电池:20%\n坐垫已调整,爬坡能力优于70%同体重骑手,2025-03
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:4000次\n双摇:70次\n心率:170\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于90%同龄女性,2025-03
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:14km\n配速:4'40\n力量:1h\n体脂:17%,跑鞋寿命:剩余20km\n蛋白粉:充足\n睡眠:8h,综合表现优于80%健身爱好者,2025-03
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:55分钟\nHIIT:30分钟\n心率:162\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于65%同类（饮食控制佳）,2025-03
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:14km\n配速:4'50\n心率:158\n步频:185,跑鞋寿命:剩余80km\n心率带电量:20%\n肌肉酸痛评分:2/10,优于78%同年龄跑者（耐力稳定）,2025-04
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:35km\n均速:25km/h\n心率:148\n踏频:92,自行车链条:剩余150km\n头盔使用:1.2年\n手部麻木:无,骑行效率优于10%同类,2025-04
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2200m\n泳姿:自由泳\n划水次数:30/50m\n心率:152,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前8%同龄组,2025-04
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:100分钟\n跑步:8km\n配速:5'30\n心率:142,瑜伽垫磨损:中度\n跑鞋寿命:剩余60km\n足弓支撑:良好,柔韧性优于92%女性,2025-04
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:105kg 3组\n卧推:75kg 3组\n硬拉:125kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期,2025-04
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:20km\n爬升:900m\n负重:9kg\n耗时:5.5h,登山杖:正常\n徒步鞋:已更换\n膝盖无不适,徒步速度优于85%同经验者,2025-04
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:45km\n均速:21km/h\n爬升:900m\n心率:162,刹车片:已更换\n车灯电池:10%\n坐垫舒适,爬坡能力优于75%同体重骑手,2025-04
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:4500次\n双摇:80次\n心率:172\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于92%同龄女性,2025-04
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:16km\n配速:4'30\n力量:1h\n体脂:16.5%,跑鞋寿命:已更换\n蛋白粉:充足\n睡眠:8h,综合表现优于85%健身爱好者,2025-04
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:60分钟\nHIIT:35分钟\n心率:165\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于70%同类,2025-04
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:15km\n配速:4'45\n心率:160\n步频:188,跑鞋寿命:剩余40km\n心率带电量:10%\n肌肉酸痛评分:1/10,优于80%同年龄跑者（峰值训练）,2025-05
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:40km\n均速:26km/h\n心率:150\n踏频:95,自行车链条:剩余100km\n头盔使用:1.2年\n手部麻木:无,骑行效率优于15%同类,2025-05
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2500m\n泳姿:自由泳\n划水次数:28/50m\n心率:155,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前5%同龄组,2025-05
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:110分钟\n跑步:10km\n配速:5'20\n心率:145,瑜伽垫磨损:重度\n跑鞋寿命:剩余30km\n足弓支撑:良好,柔韧性优于95%女性,2025-05
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:110kg 3组\n卧推:80kg 3组\n硬拉:130kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期,2025-05
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:22km\n爬升:1000m\n负重:9kg\n耗时:6h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于90%同经验者,2025-05
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:50km\n均速:22km/h\n爬升:1000m\n心率:165,刹车片:正常\n车灯电池:已充电\n坐垫舒适,爬坡能力优于80%同体重骑手,2025-05
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:5000次\n双摇:90次\n心率:175\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于95%同龄女性,2025-05
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:18km\n配速:4'20\n力量:1h\n体脂:16%,跑鞋寿命:剩余10km\n蛋白粉:充足\n睡眠:8h,综合表现优于90%健身爱好者,2025-05
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:65分钟\nHIIT:40分钟\n心率:168\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于75%同类,2025-05
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:16km\n配速:4'40\n心率:162\n步频:190,跑鞋寿命:已更换\n心率带电量:80%\n肌肉酸痛评分:2/10,优于82%同年龄跑者（状态维持）,2025-06
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:42km\n均速:27km/h\n心率:152\n踏频:98,自行车链条:剩余80km\n头盔使用:1.3年\n手部麻木:无,骑行效率优于20%同类,2025-06
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2600m\n泳姿:自由泳\n划水次数:27/50m\n心率:158,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前4%同龄组,2025-06
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:120分钟\n跑步:12km\n配速:5'10\n心率:148,瑜伽垫:已更换\n跑鞋寿命:剩余60km\n足弓支撑:良好,柔韧性优于96%女性,2025-06
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:115kg 3组\n卧推:85kg 3组\n硬拉:135kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期,2025-06
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:25km\n爬升:1100m\n负重:10kg\n耗时:7h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于92%同经验者,2025-06
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:55km\n均速:23km/h\n爬升:1100m\n心率:168,刹车片:正常\n车灯电池:80%\n坐垫舒适,爬坡能力优于85%同体重骑手,2025-06
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:5200次\n双摇:100次\n心率:178\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于96%同龄女性,2025-06
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:20km\n配速:4'15\n力量:1h\n体脂:15.5%,跑鞋寿命:剩余40km\n蛋白粉:充足\n睡眠:8h,综合表现优于92%健身爱好者,2025-06
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:70分钟\nHIIT:45分钟\n心率:170\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于80%同类,2025-06
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:14km\n配速:4'50\n心率:158\n步频:185,跑鞋寿命:剩余100km\n心率带电量:60%\n肌肉酸痛评分:3/10,优于75%同年龄跑者（夏季高温影响）,2025-07
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:38km\n均速:25km/h\n心率:145\n踏频:92,自行车链条:剩余60km\n头盔使用:1.3年\n手部麻木:无,骑行效率优于12%同类（高温乏力）,2025-07
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2400m\n泳姿:自由泳\n划水次数:29/50m\n心率:152,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前6%同龄组（保持）,2025-07
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:100分钟\n跑步:9km\n配速:5'40\n心率:142,瑜伽垫:正常\n跑鞋寿命:剩余30km\n足弓支撑:良好,柔韧性优于90%女性（略降）,2025-07
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:105kg 3组\n卧推:80kg 3组\n硬拉:125kg,腰带扣:正常\n握力带:正常\n肌肉恢复:中,力量增长持平（疲劳累积）,2025-07
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:20km\n爬升:900m\n负重:9kg\n耗时:5.5h,登山杖:正常\n徒步鞋:磨损\n膝盖轻微不适,徒步速度优于80%同经验者（下降）,2025-07
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:45km\n均速:20km/h\n爬升:900m\n心率:160,刹车片:磨损\n车灯电池:50%\n坐垫舒适,爬坡能力优于70%同体重骑手（下降）,2025-07
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:4800次\n双摇:85次\n心率:170\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿轻微酸痛,跳绳成绩优于90%同龄女性（略降）,2025-07
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:16km\n配速:4'35\n力量:1h\n体脂:16%,跑鞋寿命:剩余10km\n蛋白粉:充足\n睡眠:7.5h,综合表现优于85%健身爱好者（维持）,2025-07
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:60分钟\nHIIT:35分钟\n心率:165\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于70%同类（维持）,2025-07
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:12km\n配速:5'00\n心率:155\n步频:180,跑鞋寿命:剩余60km\n心率带电量:40%\n肌肉酸痛评分:4/10,优于68%同年龄跑者（状态下滑）,2025-08
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:30km\n均速:23km/h\n心率:142\n踏频:88,自行车链条:剩余40km\n头盔使用:1.4年\n手部麻木:无,骑行效率优于5%同类（明显下降）,2025-08
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2000m\n泳姿:自由泳\n划水次数:32/50m\n心率:150,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前12%同龄组（下降）,2025-08
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:80分钟\n跑步:7km\n配速:6'00\n心率:138,瑜伽垫:正常\n跑鞋寿命:已更换\n足弓支撑:良好,柔韧性优于85%女性（下降）,2025-08
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:95kg 3组\n卧推:70kg 3组\n硬拉:115kg,腰带扣:正常\n握力带:正常\n肌肉恢复:差,力量增长停滞（压力大）,2025-08
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:15km\n爬升:700m\n负重:8kg\n耗时:4.5h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于70%同经验者（下降）,2025-08
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:35km\n均速:18km/h\n爬升:700m\n心率:155,刹车片:已更换\n车灯电池:30%\n坐垫舒适,爬坡能力优于60%同体重骑手（下降）,2025-08
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:4000次\n双摇:70次\n心率:168\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于85%同龄女性（下降）,2025-08
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:14km\n配速:4'50\n力量:1h\n体脂:16.5%,跑鞋寿命:已更换\n蛋白粉:充足\n睡眠:7h,综合表现优于75%健身爱好者（下降）,2025-08
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:55分钟\nHIIT:30分钟\n心率:160\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于60%同类（下降）,2025-08
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:13km\n配速:4'55\n心率:156\n步频:182,跑鞋寿命:剩余30km\n心率带电量:20%\n肌肉酸痛评分:3/10,优于70%同年龄跑者（缓慢恢复）,2025-09
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:33km\n均速:24km/h\n心率:144\n踏频:90,自行车链条:剩余20km\n头盔使用:1.4年\n手部麻木:无,骑行效率优于8%同类（回升）,2025-09
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2100m\n泳姿:自由泳\n划水次数:31/50m\n心率:151,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前10%同龄组（回升）,2025-09
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:90分钟\n跑步:8km\n配速:5'50\n心率:140,瑜伽垫:正常\n跑鞋寿命:剩余90km\n足弓支撑:良好,柔韧性优于88%女性（回升）,2025-09
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:100kg 3组\n卧推:75kg 3组\n硬拉:120kg,腰带扣:正常\n握力带:正常\n肌肉恢复:中,力量增长持平（调整中）,2025-09
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:17km\n爬升:750m\n负重:8kg\n耗时:5h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于75%同经验者（回升）,2025-09
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:40km\n均速:19km/h\n爬升:800m\n心率:158,刹车片:正常\n车灯电池:50%\n坐垫舒适,爬坡能力优于65%同体重骑手（回升）,2025-09
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:4500次\n双摇:80次\n心率:172\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于88%同龄女性（回升）,2025-09
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:15km\n配速:4'40\n力量:1h\n体脂:16%,跑鞋寿命:剩余60km\n蛋白粉:充足\n睡眠:7.5h,综合表现优于80%健身爱好者（回升）,2025-09
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:60分钟\nHIIT:35分钟\n心率:163\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于65%同类（回升）,2025-09
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:15km\n配速:4'45\n心率:160\n步频:186,跑鞋寿命:已更换\n心率带电量:80%\n肌肉酸痛评分:2/10,优于78%同年龄跑者（重回状态）,2025-10
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:38km\n均速:25km/h\n心率:148\n踏频:94,自行车链条:已更换\n头盔使用:1.5年\n手部麻木:无,骑行效率优于18%同类,2025-10
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2300m\n泳姿:自由泳\n划水次数:29/50m\n心率:153,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前7%同龄组,2025-10
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:105分钟\n跑步:9km\n配速:5'30\n心率:143,瑜伽垫:正常\n跑鞋寿命:剩余60km\n足弓支撑:良好,柔韧性优于93%女性,2025-10
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:108kg 3组\n卧推:78kg 3组\n硬拉:128kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期,2025-10
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:22km\n爬升:950m\n负重:9kg\n耗时:6h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于88%同经验者,2025-10
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:48km\n均速:21km/h\n爬升:950m\n心率:163,刹车片:正常\n车灯电池:70%\n坐垫舒适,爬坡能力优于78%同体重骑手,2025-10
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:5000次\n双摇:95次\n心率:176\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于93%同龄女性,2025-10
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:18km\n配速:4'25\n力量:1h\n体脂:15.5%,跑鞋寿命:剩余30km\n蛋白粉:充足\n睡眠:8h,综合表现优于90%健身爱好者,2025-10
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:65分钟\nHIIT:40分钟\n心率:168\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于78%同类,2025-10
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:16km\n配速:4'40\n心率:162\n步频:188,跑鞋寿命:剩余80km\n心率带电量:60%\n肌肉酸痛评分:1/10,优于82%同年龄跑者（表现提升）,2025-11
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:40km\n均速:26km/h\n心率:150\n踏频:96,自行车链条:正常\n头盔使用:1.5年\n手部麻木:无,骑行效率优于22%同类,2025-11
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2500m\n泳姿:自由泳\n划水次数:28/50m\n心率:155,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前5%同龄组,2025-11
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:115分钟\n跑步:10km\n配速:5'20\n心率:145,瑜伽垫:正常\n跑鞋寿命:剩余30km\n足弓支撑:良好,柔韧性优于95%女性,2025-11
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:112kg 3组\n卧推:82kg 3组\n硬拉:132kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期,2025-11
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:24km\n爬升:1050m\n负重:10kg\n耗时:6.5h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于92%同经验者,2025-11
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:52km\n均速:22km/h\n爬升:1050m\n心率:166,刹车片:正常\n车灯电池:80%\n坐垫舒适,爬坡能力优于83%同体重骑手,2025-11
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:5200次\n双摇:100次\n心率:178\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于96%同龄女性,2025-11
1009,30岁男 | 体重75kg | 偏好跑步+健身 | 混合,跑步:20km\n配速:4'15\n力量:1h\n体脂:15%,跑鞋寿命:已更换\n蛋白粉:充足\n睡眠:8h,综合表现优于94%健身爱好者,2025-11
1010,29岁女 | 体重58kg | 偏好健身操 | 居家,健身操:70分钟\nHIIT:45分钟\n心率:170\n出汗量大,运动内衣:支撑好\n心率带:稳定\n肌肉耐力:好,减脂效率优于82%同类,2025-11
1001,28岁男 | 体重70kg | 偏好跑步 | 城市道路,跑步距离:18km\n配速:4'30\n心率:165\n步频:190,跑鞋寿命:剩余40km\n心率带电量:40%\n肌肉酸痛评分:2/10,优于88%同年龄跑者（年度最佳）,2025-12
1002,25岁女 | 体重55kg | 偏好骑行 | 平路,骑行距离:45km\n均速:28km/h\n心率:152\n踏频:100,自行车链条:正常\n头盔使用:1.6年\n手部麻木:无,骑行效率优于30%同类（突破）,2025-12
1003,32岁男 | 体重82kg | 偏好游泳 | 室内池,游泳距离:2800m\n泳姿:自由泳\n划水次数:26/50m\n心率:158,泳镜防雾:好\n泳帽弹性:好\n肩部无不适,游泳成绩前3%同龄组（PB）,2025-12
1004,27岁女 | 体重60kg | 偏好瑜伽+跑步 | 公园,瑜伽:120分钟\n跑步:12km\n配速:5'00\n心率:148,瑜伽垫:正常\n跑鞋寿命:剩余10km\n足弓支撑:良好,柔韧性优于98%女性,2025-12
1005,35岁男 | 体重78kg | 偏好力量训练 | 健身房,深蹲:120kg 3组\n卧推:90kg 3组\n硬拉:140kg,腰带扣:正常\n握力带:正常\n肌肉恢复:好,力量增长超出预期（PR）,2025-12
1006,24岁女 | 体重52kg | 偏好徒步 | 山地,徒步距离:28km\n爬升:1200m\n负重:10kg\n耗时:7.5h,登山杖:正常\n徒步鞋:正常\n膝盖无不适,徒步速度优于95%同经验者,2025-12
1007,40岁男 | 体重85kg | 偏好骑行 | 山路,骑行距离:60km\n均速:24km/h\n爬升:1200m\n心率:170,刹车片:正常\n车灯电池:90%\n坐垫舒适,爬坡能力优于90%同体重骑手,2025-12
1008,22岁女 | 体重50kg | 偏好跳绳 | 室内,跳绳:5500次\n双摇:110次\n心率:180\n协调性:好,跳绳手柄轴承:正常\n瑜伽垫:防滑正常\n小腿无酸痛,跳绳成绩优于98%同龄女性,2025-12
