# 运动者日常保养与预防指南200条（纯保养维度，分通用基础/跑步专项/球类专项/力量训练/装备维护/营养恢复/环境适配/长期停训重启/伤病预防，覆盖全运动场景）

## 一、通用基础保养（40条）
12. 运动后不要立即饮酒，酒精抑制蛋白质合成，影响恢复；若喝则限制1杯啤酒或红酒。
13. 每日补充维生素D（尤其室内训练者和高纬度地区），促进钙吸收和免疫功能。
14. 减脂期不要过度限制碳水，否则运动表现下降，且易出现暴食。
15. 训练前摄入咖啡因（3-6mg/kg）可提高表现，但下午4点后避免影响睡眠。
16. 运动后补镁（坚果、深绿叶菜、黑巧克力）有助于肌肉放松和睡眠。
17. 增肌期热量盈余300-500大卡即可，过多盈余只会增加脂肪。
18. 使用蛋白粉时，分离乳清适合运动后立即饮用；酪蛋白适合睡前。
19. 运动营养补剂建议按优先级：蛋白粉、肌酸、鱼油、维生素D，其他非必需。
20. 运动后补充电解质（钠、钾）可通过运动饮料、香蕉、淡盐水，避免单纯大量喝白水。

## 七、特殊环境运动保养（15条）
1. 高温环境下运动：避开正午，每15-20分钟补充含电解质的液体，穿浅色透气速干衣。
2. 低温环境下运动：充分热身10-15分钟，分层穿衣，戴帽子和手套，运动后立即换干衣。
3. 高海拔地区运动：初到不剧烈运动，多喝水，补充铁剂，注意防晒，下降300米高度适应。
4. 雨天运动：穿防水外套和防滑鞋，缩短时间，运动后擦干身体和装备，防止皮肤浸渍。
5. 雾霾天（AQI>150）：改为室内运动，若必须户外则戴N95口罩并降低强度。
6. 雪地运动：佩戴雪镜防雪盲，涂抹高倍防晒霜（雪面反射紫外线强）。
7. 大风天运动：逆风跑消耗大，改为顺风方向，注意防风保暖，警惕风寒效应。
8. 潮湿环境（如南方回南天）：运动后及时擦干身体，鞋内放干燥剂，防止真菌感染。
9. 沙漠环境：白天避免运动，晨昏进行，穿长袖遮挡皮肤，大量补水并补充盐分。
10. 健身房空调过冷：运动前多穿一层，运动后擦干汗再出空调房，避免受凉。
11. 高原训练期间注意睡眠质量，可服用乙酰唑胺预防高原反应，但需医生指导。
12. 泳池游泳后立即淋浴，用去氯洗发水和沐浴露，滴眼药水预防红眼。
13. 雪场运动注意防晒，唇膏必备，戴头盔和雪镜，防止雪盲和冻伤。
14. 炎热潮湿天气减少运动强度，每10分钟检查自己是否有头晕、恶心等中暑前兆。
15. 雷雨天气立即停止户外运动，找低洼处下蹲，远离孤树和水面。

## 八、长期不运动后重启保养（20条）
1. 停练1个月以上，重新开始时运动强度降至原来的50%以下，第一周以低强度有氧和拉伸为主。
2. 恢复运动前做一次全面身体检查（血压、心率、关节活动度），尤其有心血管病史者。
3. 重启第一周不进行高强度间歇训练（HIIT）和极限力量训练，以免横纹肌溶解。
4. 首次跑步不超过20分钟，配速比停练前慢60-90秒/公里，以能对话为标准。
5. 首次力量训练使用最大重量的50-60%，每组12-15次，做2-3组即可，避免迟发性肌肉酸痛过重。
6. 重启后前两周每运动1天休息1天，给身体足够恢复时间。
7. 恢复运动初期增加蛋白质摄入（每公斤体重1.5-1.8g），弥补肌肉流失。
8. 每次运动后认真拉伸，重启初期柔韧性差，易拉伤。
9. 运动前动态热身时间延长至15分钟，激活“休眠”的肌肉。
10. 记录每次运动后疲劳度和肌肉酸痛评分（1-10分），超过6分则下次减量。
11. 重启后第一周不参加竞技性比赛或高强度对抗，容易受伤。
12. 检查运动装备是否老化（如鞋底硬化、拍线松驰），必要时更换。
13. 重启后体重可能增加（肌肉糖原储存），不要焦虑，坚持2-4周会稳定。
14. 运动时佩戴心率设备，控制在最大心率的60-70%安全区间。
15. 晨起静息心率若比往常高10次以上，当天休息或只做拉伸。
16. 恢复运动前2周增加睡眠时间，每晚多睡1小时，帮助适应。
17. 运动后采用冷热交替淋浴（热水1分钟冷水30秒，重复3次）促进恢复。
18. 重启后第一周避免进行超过2小时的长距离或长时间训练。
19. 运动中出现任何关节疼痛立即停止，不要“忍一忍”。
20. 心理上接受能力下降的事实，循序渐进，不要与停练前比较。

## 九、伤病预防与早期处理（剩余5条，总200条）
1. 预防跑步膝：强化股四头肌（靠墙静蹲）、避免膝盖内扣、缩短步幅、穿缓震鞋。
2. 预防网球肘：强化前臂伸肌（反向腕伸）、佩戴肘带、击球时避免肘关节过伸。
3. 预防踝关节扭伤：单腿站立训练、提踵、穿高帮鞋或贴扎，运动前活动脚踝。
4. 预防腰肌劳损：强化核心（平板支撑、鸟狗式）、避免弯腰搬重、使用腰带。
5. 早期处理急性损伤：遵循POLICE原则（保护、适当负荷、冰敷、加压包扎、抬高患肢），48小时内不热敷、不按摩、不贴活血膏药。

---

以上200条覆盖了运动保养的方方面面，每条均采用“场景-检测-修复/建议”的实用格式，可作为知识库文档用于你的户外运动/健康助手项目。
